country,coal_production,Percentage,Rank,Latitude,Longitude
Afghanistan,9.858,0.02,33,33.0,65.0
Albania,0.0,0.0,56,41.0,20.0
Algeria,0.0,0.0,56,28.0,3.0
American Samoa,0.0,0.0,56,-14.3333,-170.0
Angola,0.0,0.0,56,-12.5,18.5
Antigua and Barbuda,0.0,0.0,56,17.05,-61.8
Argentina,0.166,0.0,54,-34.0,-64.0
Armenia,0.0,0.0,56,40.0,45.0
Aruba,0.0,0.0,56,12.5,-69.9667
Australia,3183.652,7.08,5,-27.0,133.0
Austria,0.0,0.0,56,47.3333,13.3333
Azerbaijan,0.0,0.0,56,40.5,47.5
Bahamas,0.0,0.0,56,24.25,-76.0
Bahrain,0.0,0.0,56,26.0,50.55
Bangladesh,5.53,0.01,40,24.0,90.0
Barbados,0.0,0.0,56,13.1667,-59.5333
Belarus,0.0,0.0,56,53.0,28.0
Belgium,0.0,0.0,56,50.8333,4.0
Belize,0.0,0.0,56,17.25,-88.75
Benin,0.0,0.0,56,9.5,2.25
Bermuda,0.0,0.0,56,32.3333,-64.75
Bhutan,0.573,0.0,50,27.5,90.5
Bosnia and Herzegovina,27.6,0.06,25,44.0,18.0
Botswana,12.277,0.03,31,-22.0,24.0
Brazil,29.969,0.07,23,-10.0,-55.0
Bulgaria,68.895,0.15,17,43.0,25.0
Burkina Faso,0.0,0.0,56,13.0,-2.0
Burundi,0.0,0.0,56,-3.5,30.0
Cambodia,0.0,0.0,56,13.0,105.0
Cameroon,0.0,0.0,56,6.0,12.0
Canada,327.525,0.73,11,60.0,-95.0
Cayman Islands,0.0,0.0,56,19.5,-80.5
Central African Republic,0.0,0.0,56,7.0,21.0
Chad,0.0,0.0,56,15.0,19.0
Chile,13.514,0.03,30,-30.0,-71.0
China,25617.02,57.0,1,35.0,105.0
Colombia,459.383,1.02,9,4.0,-72.0
Comoros,0.0,0.0,56,-12.1667,44.25
Congo,0.0,0.0,56,-1.0,15.0
Cook Islands,0.0,0.0,56,-21.2333,-159.7667
Costa Rica,0.0,0.0,56,10.0,-84.0
Croatia,0.0,0.0,56,45.1667,15.5
Cuba,0.0,0.0,56,21.5,-80.0
Cyprus,0.0,0.0,56,35.0,33.0
Denmark,0.0,0.0,56,56.0,10.0
Djibouti,0.0,0.0,56,11.5,43.0
Dominica,0.0,0.0,56,15.4167,-61.3333
Dominican Republic,0.0,0.0,56,19.0,-70.6667
Ecuador,0.0,0.0,56,-2.0,-77.5
Egypt,0.0,0.0,56,27.0,30.0
El Salvador,0.0,0.0,56,13.8333,-88.9167
Equatorial Guinea,0.0,0.0,56,2.0,10.0
Eritrea,0.0,0.0,56,15.0,39.0
Estonia,0.0,0.0,56,59.0,26.0
Ethiopia,0.0,0.0,56,8.0,38.0
Faroe Islands,0.0,0.0,56,62.0,-7.0
Fiji,0.0,0.0,56,-18.0,175.0
Finland,0.0,0.0,56,64.0,26.0
France,0.0,0.0,56,46.0,2.0
French Guiana,0.0,0.0,56,4.0,-53.0
French Polynesia,0.0,0.0,56,-15.0,-140.0
Gabon,0.0,0.0,56,-1.0,11.75
Gambia,0.0,0.0,56,13.4667,-16.5667
Georgia,1.475,0.0,47,42.0,43.5
Germany,336.058,0.75,10,51.0,9.0
Ghana,0.0,0.0,56,8.0,-2.0
Gibraltar,0.0,0.0,56,36.1833,-5.3667
Greece,18.962,0.04,26,39.0,22.0
Greenland,0.0,0.0,56,72.0,-40.0
Grenada,0.0,0.0,56,12.1167,-61.6667
Guadeloupe,0.0,0.0,56,16.25,-61.5833
Guam,0.0,0.0,56,13.4667,144.7833
Guatemala,0.0,0.0,56,15.5,-90.25
Guinea,0.0,0.0,56,11.0,-10.0
Guinea-Bissau,0.0,0.0,56,12.0,-15.0
Guyana,0.0,0.0,56,5.0,-59.0
Haiti,0.0,0.0,56,19.0,-72.4167
Honduras,0.0,0.0,56,15.0,-86.5
Hong Kong,0.0,0.0,56,22.25,114.1667
Hungary,8.883,0.02,36,47.0,20.0
Iceland,0.0,0.0,56,65.0,-18.0
India,4172.377,9.28,2,20.0,77.0
Indonesia,3875.839,8.62,3,-5.0,120.0
Iraq,0.0,0.0,56,33.0,44.0
Ireland,0.0,0.0,56,53.0,-8.0
Israel,0.0,0.0,56,31.5,34.75
Italy,0.0,0.0,56,42.8333,12.8333
Jamaica,0.0,0.0,56,18.25,-77.5
Japan,4.699,0.01,42,36.0,138.0
Jordan,0.0,0.0,56,31.0,36.0
Kazakhstan,502.123,1.12,7,48.0,68.0
Kenya,0.0,0.0,56,1.0,38.0
Kiribati,0.0,0.0,56,1.4167,173.0
Kuwait,0.0,0.0,56,29.3375,47.6581
Kyrgyzstan,8.382,0.02,37,41.0,75.0
Latvia,0.0,0.0,56,57.0,25.0
Lebanon,0.0,0.0,56,33.8333,35.8333
Lesotho,0.0,0.0,56,-29.5,28.5
Liberia,0.0,0.0,56,6.5,-9.5
Lithuania,0.0,0.0,56,56.0,24.0
Luxembourg,0.0,0.0,56,49.75,6.1667
Macao,0.0,0.0,56,22.1667,113.55
Madagascar,0.0,0.0,56,-20.0,47.0
Malawi,0.315,0.0,53,-13.5,34.0
Malaysia,15.135,0.03,29,2.5,112.5
Maldives,0.0,0.0,56,3.25,73.0
Mali,0.0,0.0,56,17.0,-4.0
Malta,0.0,0.0,56,35.8333,14.5833
Martinique,0.0,0.0,56,14.6667,-61.0
Mauritania,0.0,0.0,56,20.0,-12.0
Mauritius,0.0,0.0,56,-20.2833,57.55
Mexico,38.235,0.09,21,23.0,-102.0
Mongolia,208.174,0.46,12,46.0,105.0
Montenegro,3.768,0.01,43,42.0,19.0
Montserrat,0.0,0.0,56,16.75,-62.2
Morocco,0.0,0.0,56,32.0,-5.0
Mozambique,49.599,0.11,19,-18.25,35.0
Myanmar,2.753,0.01,45,22.0,98.0
Namibia,0.0,0.0,56,-22.0,17.0
Nauru,0.0,0.0,56,-0.5333,166.9167
Nepal,0.099,0.0,55,28.0,84.0
Netherlands,0.0,0.0,56,52.5,5.75
New Caledonia,0.0,0.0,56,-21.5,165.5
New Zealand,18.328,0.04,27,-41.0,174.0
Nicaragua,0.0,0.0,56,13.0,-85.0
Niger,1.646,0.0,46,16.0,8.0
Nigeria,0.347,0.0,52,10.0,8.0
Niue,0.0,0.0,56,-19.0333,-169.8667
Northern Mariana Islands,0.0,0.0,56,15.2,145.75
Norway,6.727,0.01,38,62.0,10.0
Oman,0.0,0.0,56,21.0,57.0
Pakistan,51.872,0.12,18,30.0,70.0
Panama,0.0,0.0,56,9.0,-80.0
Papua New Guinea,0.0,0.0,56,-6.0,147.0
Paraguay,0.0,0.0,56,-23.0,-58.0
Peru,3.58,0.01,44,-10.0,-76.0
Philippines,78.168,0.17,15,13.0,122.0
Poland,473.361,1.05,8,52.0,20.0
Portugal,0.0,0.0,56,39.5,-8.0
Puerto Rico,0.0,0.0,56,18.25,-66.5
Qatar,0.0,0.0,56,25.5,51.25
Romania,35.821,0.08,22,46.0,25.0
Rwanda,0.0,0.0,56,-2.0,30.0
Saint Kitts and Nevis,0.0,0.0,56,17.3333,-62.75
Saint Lucia,0.0,0.0,56,13.8833,-61.1333
Saint Pierre and Miquelon,0.0,0.0,56,46.8333,-56.3333
Saint Vincent and the Grenadines,0.0,0.0,56,13.25,-61.2
Samoa,0.0,0.0,56,-13.5833,-172.3333
Sao Tome and Principe,0.0,0.0,56,1.0,7.0
Saudi Arabia,0.0,0.0,56,25.0,45.0
Senegal,0.0,0.0,56,14.0,-14.0
Serbia,70.48,0.16,16,44.0,21.0
Seychelles,0.0,0.0,56,-4.5833,55.6667
Sierra Leone,0.0,0.0,56,8.5,-11.5
Singapore,0.0,0.0,56,1.3667,103.8
Slovakia,5.535,0.01,39,48.6667,19.5
Slovenia,11.541,0.03,32,46.0,15.0
Solomon Islands,0.0,0.0,56,-8.0,159.0
Somalia,0.0,0.0,56,10.0,49.0
South Africa,1485.46,3.31,6,-29.0,24.0
South Sudan,0.0,0.0,56,8.0,30.0
Spain,0.494,0.0,51,40.0,-4.0
Sri Lanka,0.0,0.0,56,7.0,81.0
Sudan,0.0,0.0,56,15.0,30.0
Suriname,0.0,0.0,56,4.0,-56.0
Sweden,0.0,0.0,56,62.0,15.0
Switzerland,0.0,0.0,56,47.0,8.0
Tajikistan,9.007,0.02,35,39.0,71.0
Thailand,39.297,0.09,20,15.0,100.0
Togo,0.0,0.0,56,8.0,1.1667
Tonga,0.0,0.0,56,-20.0,-175.0
Trinidad and Tobago,0.0,0.0,56,11.0,-61.0
Tunisia,0.0,0.0,56,34.0,9.0
Turkmenistan,0.0,0.0,56,40.0,60.0
Turks and Caicos Islands,0.0,0.0,56,21.75,-71.5833
Uganda,0.0,0.0,56,1.0,32.0
Ukraine,100.343,0.22,14,49.0,32.0
United Arab Emirates,0.0,0.0,56,24.0,54.0
United Kingdom,5.024,0.01,41,54.0,-2.0
United States,3353.041,7.46,4,38.0,-97.0
Uruguay,0.0,0.0,56,-33.0,-56.0
Uzbekistan,17.675,0.04,28,41.0,64.0
Vanuatu,0.0,0.0,56,-16.0,167.0
Western Sahara,0.0,0.0,56,24.5,-13.0
Yemen,0.0,0.0,56,15.0,48.0
Zambia,0.906,0.0,49,-15.0,30.0
Zimbabwe,29.554,0.07,24,-20.0,30.0
